InitialMoleFraction,Z,Phi,Tau,CalculatedMoleFraction,RelativeDifference,Converged,Iterations
0,0.768078499001708,1.14928151730911e+110,-16395326.8111489,6.15299624947407e-122,1,1,25
0.0001,0.801274963053384,4.0612813530593e+91,-14216927.0848691,1.74120536127495e-103,5.74314794934802e+98,1,59
0.0002,0.828359384222752,3.46662050623969e+77,-12426920.9795634,2.03989010417049e-89,9.80444973928283e+84,1,14
0.0003,0.851106676707338,2.49796902421661e+66,-10923266.5713867,2.83090974989594e-78,1.05973000379481e+74,1,16
0.0004,0.870602607396473,2.09492623422631e+57,-9637810.16514863,3.37554838450169e-69,1.18499264248896e+65,1,18
0.0005,0.88756453144729,5.81055416994081e+49,-8523077.84390454,1.21701384390757e-61,4.10841669963758e+57,1,79
0.0006,0.902493156501436,2.29549727866248e+43,-7544856.96057889,3.08060694792599e-55,1.94766813859181e+51,1,57
0.0007,0.915752743027272,7.17705758082733e+37,-6677789.44761373,9.85295824361727e-50,7.1044653056706e+45,1,36
0.0008,0.92761702545908,1.16270269612158e+33,-5902631.26250724,6.08197167614841e-45,1.31536291616968e+41,1,36
0.0009,0.938297166003603,7.1319016948832e+28,-5204481.43713792,9.91534259462147e-41,9.07684219089112e+36,1,72
0.001,0.947959616219949,1.30599639304046e+25,-4571599.87705381,5.41465880248703e-37,1.84683843706031e+33,1,22
0.0011,0.956737989022719,5.94228110287787e+21,-3994595.82451552,1.19003539939706e-33,9.24342251127426e+29,1,32
0.0012,0.964741212498262,5.81590101394012e+18,-3465857.07868715,1.21589498319231e-30,9.86927338781698e+26,1,61
0.0013,0.972059287380163,1.09149132566241e+16,-2979139.90590287,6.47877330706338e-28,2.0065526888905e+24,1,70
0.0014,0.978767450216373,35798305372477.6,-2529268.79720198,1.97537978181212e-25,7.08724475612333e+21,1,38
0.0015,0.984929246438157,190207865163.691,-2111912.92735537,3.71778783149013e-23,4.03465734998327e+19,1,91
0.0016,0.990598840151878,1538003695.26294,-1723417.19565837,4.59785947678357e-21,3.47988016614914e+17,1,52
0.0017,0.995822778214922,17965026.8931797,-1360672.77488548,3.93627290826795e-19,4.31880624036314e+15,1,7
0.0018,1.00064135686051,290162.094933771,-1021016.70109973,2.43709464091335e-17,73858436590110.8,1,7
0.0019,1.00508969403618,6244.76658338378,-702153.110675682,1.13239218330577e-15,1677863930897.37,1,7
0.002,1.00919858058725,173.520362280391,-402090.820357717,4.07532855087405e-14,49075797815.8669,1,7
0.0021,1.01299516300118,6.05883024980455,-119093.390834602,1.16714358614371e-12,1799264481.04928,1,7
0.0022,1.0165034962921,0.259710161985988,148361.171249681,2.72285258748341e-11,80797615.8123498,1,7
0.0023,1.0197449956508,0.0133921966784898,401613.195383056,5.280332297502e-10,4355785.47405974,1,7
0.0024,1.02273880836781,0.000816215427113215,641848.214467061,8.66379711861532e-09,277013.796992797,1,7
0.0025,1.02550212237782,5.78929803517109e-05,870119.137492598,1.22148226307093e-07,20465.9365702843,1,7
0.0026,1.02805042398363,4.71411372079949e-06,1087364.66642476,1.50007515397689e-06,1732.24649308875,1,10
0.0027,1.03039771450244,4.35412332289777e-07,1294424.68605393,1.62409843295081e-05,165.246081223931,1,7
0.0028,1.03255669346142,4.5132769649438e-08,1492053.19722068,0.000156682714588975,16.8705098858239,1,7
0.0029,1.03453891436447,5.20052076509641e-09,1680929.24335741,0.0013597724506849,1.13270977694783,1,7
0.003,1.03635491782183,6.60509087469568e-10,1861666.18785938,0.0107061734649013,0.719787839246665,1,7
