CalculatedMoleFraction,InitialMoleFraction,RelativeDifferencePercent,Pressure,Temperature
7.06162613157936e-310,0.00054,7.64696388534558e+307,300,308
8.23481278115119e-305,0.00055,6.67896180055125e+302,300,308
7.58057431851629e-300,0.00056,7.38730307850351e+297,300,308
5.54289201623601e-295,0.00057,1.02834404554586e+293,300,308
3.23871547288829e-290,0.00058,1.79083344880171e+288,300,308
1.52110105563204e-285,0.00059,3.87876924952133e+283,300,308
5.77525128980835e-281,0.0006,1.03891583221465e+279,300,308
1.78247286061241e-276,0.00061,3.4222119925597e+274,300,308
4.49635012203934e-272,0.00062,1.37889617839368e+270,300,308
9.31888453761988e-268,0.00063,6.76046577738699e+265,300,308
1.5949704384638e-263,0.00064,4.01261355424503e+261,300,308
2.26559708840771e-259,0.00065,2.86900086218256e+257,300,308
2.68379895133371e-255,0.00066,2.4592006032047e+253,300,308
2.66373688652132e-251,0.00067,2.51526343833073e+249,300,308
2.22528543199202e-247,0.00068,3.05578776647668e+245,300,308
1.57164983693648e-243,0.00069,4.39029091457787e+241,300,308
9.42473444160288e-240,0.0007,7.42726497321817e+237,300,308
4.81880857419122e-236,0.00071,1.47339324455146e+234,300,308
2.10925528057678e-232,0.00072,3.4135270710481e+230,300,308
7.93502563190115e-229,0.00073,9.1997182348748e+226,300,308
2.57548189481816e-225,0.00074,2.87324869760829e+223,300,308
7.23890220901072e-222,0.00075,1.03606869984571e+220,300,308
1.76830490917274e-218,0.00076,4.29790131813606e+216,300,308
3.76731957853991e-215,0.00077,2.04389350026532e+213,300,308
7.02384634308361e-212,0.00078,1.11050265324791e+210,300,308
1.14978895502773e-208,0.00079,6.87082613331372e+206,300,308
1.65788140156354e-205,0.0008,4.82543563879494e+203,300,308
2.11218550202898e-202,0.00081,3.83489044509542e+200,300,308
2.38487524217055e-199,0.00082,3.43833499337975e+197,300,308
2.39346929547295e-196,0.00083,3.46776957435752e+194,300,308
2.14118999538731e-193,0.00084,3.92305214301199e+191,300,308
1.7121758457778e-190,0.00085,4.96444335490473e+188,300,308
1.22708092421321e-187,0.00086,7.00850272406786e+185,300,308
7.90245163220092e-185,0.00087,1.10092416947536e+183,300,308
4.58472948068329e-182,0.00088,1.91941531928477e+180,300,308
2.40213022139088e-179,0.00089,3.7050447643287e+177,300,308
1.13932432606299e-176,0.0009,7.89941879947394e+174,300,308
4.90313062116627e-174,0.00091,1.8559570819338e+172,300,308
1.91890415421927e-171,0.00092,4.79440308666335e+169,300,308
6.84443128880521e-169,0.00093,1.35876884544244e+167,300,308
2.22971426745216e-166,0.00094,4.21578681054103e+164,300,308
6.64792512324815e-164,0.00095,1.42901729846174e+162,300,308
1.8176908462143e-161,0.00096,5.28142616770827e+159,300,308
4.56665579592938e-159,0.00097,2.12409264754449e+157,300,308
1.05619586500214e-156,0.00098,9.27858205540327e+154,300,308
2.25298913162642e-154,0.00099,4.394162342387e+152,300,308
4.44038253933564e-152,0.001,2.25205822052804e+150,300,308
8.09999823209601e-150,0.00101,1.24691385239802e+148,300,308
1.36989843873821e-147,0.00102,7.44580744934275e+145,300,308
2.15152359859897e-145,0.00103,4.78730514817832e+143,300,308
3.14306894171881e-143,0.00104,3.308867922672e+141,300,308
4.27748491781399e-141,0.00105,2.45471350612407e+139,300,308
5.4313547531921e-139,0.00106,1.95163094323202e+137,300,308
6.44396883316137e-137,0.00107,1.66046737298552e+135,300,308
7.15397572394481e-135,0.00108,1.50965007664923e+133,300,308
7.44212072443298e-133,0.00109,1.46463627823378e+131,300,308
7.26426041135063e-131,0.0011,1.51426289492763e+129,300,308
6.66202187556233e-129,0.00111,1.66616084536094e+127,300,308
5.74777744088932e-127,0.00112,1.94857927523845e+125,300,308
4.67108315259558e-125,0.00113,2.41913912273665e+123,300,308
3.58005126482251e-123,0.00114,3.18431194324397e+121,300,308
2.59078426962484e-121,0.00115,4.43881033817813e+119,300,308
1.7723379996697e-119,0.00116,6.5450269656024e+117,300,308
1.14742695767232e-117,0.00117,1.01967274882008e+116,300,308
7.03791533248212e-116,0.00118,1.67663284403826e+114,300,308
