Pressure,Z,Phi,Solubility
1,0.995099623402543,132.862867157945,2.34854177968844e-12
2,0.990177878067984,18349.5245349236,8.504037770153e-15
3,0.985234337354226,2636422.72246815,3.94658782366269e-17
4,0.980268560648416,394400841.306628,1.97896598361668e-19
5,0.975280092723041,61485022243.1343,1.01572208433335e-21
6,0.970268463053542,9997673785260.87,5.20645480038731e-24
7,0.965233185094592,1.69718829932901e+15,2.62931322976932e-26
8,0.960173755511943,3.01078986390653e+17,1.29711369368319e-28
9,0.955089653366491,5.58706152977625e+19,6.21441988619649e-31
10,0.94998033924687,1.08564645469925e+22,2.87883132500922e-33
11,0.94484525434658,2.2113712405303e+24,1.28507470931647e-35
12,0.939683819481253,4.72701891132816e+26,5.51178430682428e-38
13,0.934495434041271,1.06161840765581e+29,2.26582877601538e-40
14,0.92927947487447,2.50800130038603e+31,8.90760947182343e-43
15,0.924035295093173,6.2403508287941e+33,3.34191020918263e-45
16,0.918762222799206,1.63748747726542e+36,1.19419473745206e-47
17,0.913459559719933,4.53757525697628e+38,4.05675183712286e-50
18,0.908126579747623,1.32972058359165e+41,1.30766466333945e-52
19,0.902762527373685,4.12693466867102e+43,3.99232759615506e-55
20,0.897366616008396,1.35860462316006e+46,1.15229151142046e-57
21,0.891938026175774,4.75175318301117e+48,3.13827038225007e-60
22,0.886475903572104,1.76863460310694e+51,8.0497206540434e-63
23,0.880979356975377,7.01789874062633e+53,1.94081774891661e-65
24,0.875447455991456,2.97411196414906e+56,4.3896431254779e-68
25,0.869879228621189,1.34872301105188e+59,9.29422270250605e-71
26,0.864273658630847,6.55809084058575e+61,1.83824399201887e-73
27,0.858629682706173,3.42639887936368e+64,3.38867819869538e-76
28,0.852946187368004,1.92781976761935e+67,5.80878941588783e-79
29,0.847222005624676,1.17077619186834e+70,9.23668841266523e-82
30,0.841455913333376,7.6934900645305e+72,1.35900671484591e-84
31,0.835646625239061,5.48446236213597e+75,1.84522181820726e-87
32,0.82979279065548,4.25289885473225e+78,2.30561815774086e-90
33,0.823892988748195,3.59766050941128e+81,2.64342125732869e-93
34,0.817945723374052,3.33006581760147e+84,2.77234224976195e-96
35,0.811949417425336,3.38354058301625e+87,2.65104576148806e-99
36,0.80590240661954,3.78656459142588e+90,2.3034928539598e-102
37,0.799802932667255,4.68416211482138e+93,1.81208756042276e-105
38,0.79364913574076,6.42958919896245e+96,1.2856539213132e-108
39,0.787439046154335,9.83228954584054e+99,8.19312754237738e-112
40,0.781170575153674,1.68234011301024e+103,4.66953108974299e-115
41,0.774841504695698,3.23556794563209e+106,2.36914020353966e-118
42,0.76844947608102,7.02891438688521e+109,1.06479420885466e-121
43,0.761991977278668,1.73379023969164e+113,4.21712326917865e-125
44,0.755466328755657,4.8832086081579e+116,1.46352933573286e-128
45,0.748869667591588,1.57986685889533e+120,4.42389147193793e-132
46,0.742198929619496,5.90938720652508e+123,1.15721823488614e-135
47,0.735450829287,2.57327371200179e+127,2.60141588139642e-139
48,0.72862183687458,1.31432768740575e+131,4.9880042543763e-143
49,0.721708152637857,7.93801983108426e+134,8.0917327492581e-147
50,0.714705677354984,5.71903383632295e+138,1.10086788035397e-150
51,0.707609978654344,4.96221306330796e+142,1.24411454661146e-154
52,0.700416252366377,5.23938139924634e+146,1.15584786484949e-158
53,0.69311927797921,6.80866477304864e+150,8.7281920131693e-163
54,0.685713367071562,1.10259688321766e+155,5.29090147048571e-167
55,0.678192303335406,2.2556593632583e+159,2.53969795945927e-171
56,0.670549272468314,5.91792596563017e+163,9.50908656972316e-176
57,0.662776779788315,2.02459776637216e+168,2.731246059369e-180
58,0.654866552871319,9.2006196722816e+172,5.90755053577918e-185
59,0.646809425789371,5.66981008371397e+177,9.42562320937334e-190
60,0.638595200577266,4.84883605827482e+182,1.08397665267712e-194
61,0.630212480290464,5.90655380862923e+187,8.75432691026113e-200
62,0.621648466318153,1.05550769574529e+193,4.82071822409094e-205
